snapshot_date,official_count,replayed_count,missing_from_replay,extra_in_replay
2015-01-30,200,200,,
2015-05-29,200,200,"ALSTOMT&D,BAJAJFINSV,BERGEPAINT,COX&KINGS,CRISIL,CUB,GRUH,GSKCONS,JKLAKSHMI,MCDOWELL-N,NCC,REDINGTON,VEDL","ADANIENT,ARVIND,CMC,GLAXO,IDFC,INDIANB,INGVYSYABK,JPPOWER,MPHASIS,NIITTECH,RAMCOCEM,SSLT,THERMAX"
2015-07-31,200,200,,
2015-10-30,199,200,"ADANIPOWER,AJANTPHARM,BALKRISIND,GDL,KAJARIACER,NATCOPHARM,PIIND,RAJESHEXPO,SADBHAV,SINTEX,SPARC","ABIRLANUVO,CROMPGREAV,DELTACORP,EDELWEISS,INDHOTEL,IOB,MAX,MCLEODRUSS,MUTHOOTFIN,NATIONALUM,TORNTPOWER,UCOBANK"
2016-01-29,199,199,,
2016-04-29,200,199,"ADANIENT,ARVIND,BEML,CENTRALBK,DISHTV,FORTIS,GESHIP,GLAXO,GUJFLUORO,HINDCOPPER,HINDZINC,IDFC,INDHOTEL,INDIANB,INOXWIND,IOB,JETAIRWAYS,JUBILANT,MMTC,MPHASIS,MUTHOOTFIN,NATIONALUM,NBCC,PCJEWELLER,PFIZER,PGHH,RAMCOCEM,SYNGENE,TATAELXSI,TATAMTRDVR,THERMAX,TORNTPOWER,TTKPRESTIG,UCOBANK,VIDEOIND,WELSPUNIND","ALSTOMT&D,AMTEKAUTO,ANDHRABANK,BALKRISIND,CARERATING,COX&KINGS,CUB,DCBBANK,GDL,HDIL,IBREALEST,IFCI,INDIACEM,J&KBANK,JISLJALEQS,JKLAKSHMI,JPASSOCIAT,KAJARIACER,KPIT,KSCL,KTKBANK,NCC,ORIENTBANK,PIIND,PIPAVAVDOC,PTC,RALLIS,RAYMOND,REPCOHOME,SADBHAV,SINTEX,SOBHA,SOUTHBANK,UNITECH,WABAG"
2016-07-29,200,200,BHARATFIN,SKSMICRO
2016-09-30,200,200,"ABFRL,ABIRLANUVO,ALKEM,CHOLAFIN,COROMANDEL,IDFCBANK,INDIGO,MFSL,PIIND","ALBK,BEML,GESHIP,HINDCOPPER,MMTC,REDINGTON,TTKPRESTIG,UCOBANK,VIDEOIND"
2016-12-30,200,200,CROMPTON,CAIRN
2017-03-31,199,200,"DALMIABHA,EDELWEISS,ENDURANCE,ICICIPRULI,LALPATHLAB,LTTS,MANAPPURAM,QUESS,RBLBANK","GUJFLUORO,IDBI,INOXWIND,IOB,JETAIRWAYS,JUSTDIAL,MFSL,PERSISTENT,PFIZER,TATAELXSI"
2017-04-28,199,199,,
2017-06-30,199,199,,
2017-09-29,199,199,"BALKRISIND,DMART,FRETAIL,MFSL,MRPL,SRF","APLLTD,LTTS,QUESS,RELCAPITAL,SUNPHARMA,THERMAX"
2017-12-29,199,199,HUDCO,FRETAIL
