Month_End,Ticker,In_Nifty200
2015-01-31,ABB,True
2015-01-31,ABIRLANUVO,True
2015-01-31,AIAENG,True
2015-01-31,ALBK,True
2015-01-31,AMBUJACEM,True
2015-01-31,AMTEKAUTO,True
2015-01-31,APOLLOHOSP,True
2015-01-31,APOLLOTYRE,True
2015-01-31,ASIANPAINT,True
2015-01-31,AUROPHARMA,True
2015-01-31,AXISBANK,True
2015-01-31,BAJAJ-AUTO,True
2015-01-31,BAJFINANCE,True
2015-01-31,BANKBARODA,True
2015-01-31,BANKINDIA,True
2015-01-31,BATAINDIA,True
2015-01-31,BEL,True
2015-01-31,BHARATFORG,True
2015-01-31,BHEL,True
2015-01-31,BIOCON,True
2015-01-31,BOSCHLTD,True
2015-01-31,BPCL,True
2015-01-31,CANBK,True
2015-01-31,CARERATING,True
2015-01-31,CASTROLIND,True
2015-01-31,CESC,True
2015-01-31,CIPLA,True
2015-01-31,CMC,True
2015-01-31,COALINDIA,True
2015-01-31,COLPAL,True
2015-01-31,CONCOR,True
2015-01-31,CUMMINSIND,True
2015-01-31,DABUR,True
2015-01-31,DCBBANK,True
2015-01-31,DELTACORP,True
2015-01-31,DIVISLAB,True
2015-01-31,DLF,True
2015-01-31,DRREDDY,True
2015-01-31,EDELWEISS,True
2015-01-31,EICHERMOT,True
2015-01-31,EMAMILTD,True
2015-01-31,ENGINERSIN,True
2015-01-31,EXIDEIND,True
2015-01-31,FEDERALBNK,True
2015-01-31,GLAXO,True
2015-01-31,GLENMARK,True
2015-01-31,GODREJCP,True
2015-01-31,GODREJIND,True
2015-01-31,GPPL,True
2015-01-31,GRASIM,True
2015-01-31,GSPL,True
2015-01-31,HAVELLS,True
2015-01-31,HCLTECH,True
2015-01-31,HDFC,True
2015-01-31,HDFCBANK,True
2015-01-31,HDIL,True
2015-01-31,HEROMOTOCO,True
2015-01-31,HEXAWARE,True
2015-01-31,HINDALCO,True
2015-01-31,HINDPETRO,True
2015-01-31,ICICIBANK,True
2015-01-31,IDBI,True
2015-01-31,IDEA,True
2015-01-31,IDFC,True
2015-01-31,IGL,True
2015-01-31,INDIACEM,True
2015-01-31,INDIANB,True
2015-01-31,INDUSINDBK,True
2015-01-31,INFY,True
2015-01-31,INGVYSYABK,True
2015-01-31,IOB,True
2015-01-31,IOC,True
2015-01-31,IPCALAB,True
2015-01-31,IRB,True
2015-01-31,ITC,True
2015-01-31,JINDALSTEL,True
2015-01-31,JISLJALEQS,True
2015-01-31,JPASSOCIAT,True
2015-01-31,JPPOWER,True
2015-01-31,JSWENERGY,True
2015-01-31,JSWSTEEL,True
2015-01-31,JUBLFOOD,True
2015-01-31,JUSTDIAL,True
2015-01-31,KARURVYSYA,True
2015-01-31,KOTAKBANK,True
2015-01-31,KSCL,True
2015-01-31,KTKBANK,True
2015-01-31,LICHSGFIN,True
2015-01-31,LT,True
2015-01-31,LUPIN,True
2015-01-31,MARICO,True
2015-01-31,MARUTI,True
2015-01-31,MCLEODRUSS,True
2015-01-31,MINDTREE,True
2015-01-31,MPHASIS,True
2015-01-31,MRF,True
2015-01-31,NATIONALUM,True
2015-01-31,NAUKRI,True
2015-01-31,NHPC,True
2015-01-31,NMDC,True
2015-01-31,NTPC,True
2015-01-31,OBEROIRLTY,True
2015-01-31,OIL,True
2015-01-31,ONGC,True
2015-01-31,PEL,True
2015-01-31,PERSISTENT,True
2015-01-31,PETRONET,True
2015-01-31,PFC,True
2015-01-31,PIDILITIND,True
2015-01-31,PNB,True
2015-01-31,POWERGRID,True
2015-01-31,PRESTIGE,True
2015-01-31,PTC,True
2015-01-31,RAMCOCEM,True
2015-01-31,RAYMOND,True
2015-01-31,RCOM,True
2015-01-31,RECLTD,True
2015-01-31,RELCAPITAL,True
2015-01-31,RELIANCE,True
2015-01-31,REPCOHOME,True
2015-01-31,RPOWER,True
2015-01-31,SAIL,True
2015-01-31,SBIN,True
2015-01-31,SHREECEM,True
2015-01-31,SIEMENS,True
2015-01-31,SOBHA,True
2015-01-31,SOUTHBANK,True
2015-01-31,STAR,True
2015-01-31,SUNPHARMA,True
2015-01-31,SUNTV,True
2015-01-31,SUZLON,True
2015-01-31,SYNDIBANK,True
2015-01-31,TATACHEM,True
2015-01-31,TATACOMM,True
2015-01-31,TCS,True
2015-01-31,TECHM,True
2015-01-31,THERMAX,True
2015-01-31,TITAN,True
2015-01-31,TORNTPHARM,True
2015-01-31,TORNTPOWER,True
2015-01-31,TV18BRDCST,True
2015-01-31,TVSMOTOR,True
2015-01-31,UBL,True
2015-01-31,UCOBANK,True
2015-01-31,ULTRACEMCO,True
2015-01-31,UNIONBANK,True
2015-01-31,UNITECH,True
2015-01-31,UPL,True
2015-01-31,VAKRANGEE,True
2015-01-31,VOLTAS,True
2015-01-31,WABAG,True
2015-01-31,WIPRO,True
2015-01-31,WOCKPHARMA,True
2015-01-31,YESBANK,True
2015-01-31,ZEEL,True
2015-02-28,ABB,True
2015-02-28,ABIRLANUVO,True
2015-02-28,AIAENG,True
2015-02-28,ALBK,True
2015-02-28,AMBUJACEM,True
2015-02-28,AMTEKAUTO,True
2015-02-28,APOLLOHOSP,True
2015-02-28,APOLLOTYRE,True
2015-02-28,ASIANPAINT,True
2015-02-28,AUROPHARMA,True
2015-02-28,AXISBANK,True
2015-02-28,BAJAJ-AUTO,True
2015-02-28,BAJAJFINSV,True
2015-02-28,BAJFINANCE,True
2015-02-28,BANKBARODA,True
2015-02-28,BANKINDIA,True
2015-02-28,BATAINDIA,True
2015-02-28,BEL,True
2015-02-28,BHARATFORG,True
2015-02-28,BHEL,True
2015-02-28,BIOCON,True
2015-02-28,BOSCHLTD,True
2015-02-28,BPCL,True
2015-02-28,CANBK,True
2015-02-28,CARERATING,True
2015-02-28,CASTROLIND,True
2015-02-28,CESC,True
2015-02-28,CIPLA,True
2015-02-28,CMC,True
2015-02-28,COALINDIA,True
2015-02-28,COLPAL,True
2015-02-28,CONCOR,True
2015-02-28,CRISIL,True
2015-02-28,CUMMINSIND,True
2015-02-28,DABUR,True
2015-02-28,DCBBANK,True
2015-02-28,DELTACORP,True
2015-02-28,DIVISLAB,True
2015-02-28,DLF,True
2015-02-28,DRREDDY,True
2015-02-28,EDELWEISS,True
2015-02-28,EICHERMOT,True
2015-02-28,EMAMILTD,True
2015-02-28,ENGINERSIN,True
2015-02-28,EXIDEIND,True
2015-02-28,FEDERALBNK,True
2015-02-28,GLAXO,True
2015-02-28,GLENMARK,True
2015-02-28,GODREJCP,True
2015-02-28,GODREJIND,True
2015-02-28,GPPL,True
2015-02-28,GRASIM,True
2015-02-28,GSPL,True
2015-02-28,HAVELLS,True
2015-02-28,HCLTECH,True
2015-02-28,HDFC,True
2015-02-28,HDFCBANK,True
2015-02-28,HDIL,True
2015-02-28,HEROMOTOCO,True
2015-02-28,HEXAWARE,True
2015-02-28,HINDALCO,True
2015-02-28,HINDPETRO,True
2015-02-28,ICICIBANK,True
2015-02-28,IDBI,True
2015-02-28,IDEA,True
2015-02-28,IDFC,True
2015-02-28,IGL,True
2015-02-28,INDIACEM,True
2015-02-28,INDIANB,True
2015-02-28,INDUSINDBK,True
2015-02-28,INFY,True
2015-02-28,IOB,True
2015-02-28,IOC,True
2015-02-28,IPCALAB,True
2015-02-28,IRB,True
2015-02-28,ITC,True
2015-02-28,JINDALSTEL,True
2015-02-28,JISLJALEQS,True
2015-02-28,JPASSOCIAT,True
2015-02-28,JPPOWER,True
2015-02-28,JSWENERGY,True
2015-02-28,JSWSTEEL,True
2015-02-28,JUBLFOOD,True
2015-02-28,JUSTDIAL,True
2015-02-28,KARURVYSYA,True
2015-02-28,KOTAKBANK,True
2015-02-28,KSCL,True
2015-02-28,KTKBANK,True
2015-02-28,LICHSGFIN,True
2015-02-28,LT,True
2015-02-28,LUPIN,True
2015-02-28,MARICO,True
2015-02-28,MARUTI,True
2015-02-28,MCLEODRUSS,True
2015-02-28,MINDTREE,True
2015-02-28,MPHASIS,True
2015-02-28,MRF,True
2015-02-28,NATIONALUM,True
2015-02-28,NAUKRI,True
2015-02-28,NHPC,True
2015-02-28,NMDC,True
2015-02-28,NTPC,True
2015-02-28,OBEROIRLTY,True
2015-02-28,OIL,True
2015-02-28,ONGC,True
2015-02-28,PEL,True
2015-02-28,PERSISTENT,True
2015-02-28,PETRONET,True
2015-02-28,PFC,True
2015-02-28,PIDILITIND,True
2015-02-28,PNB,True
2015-02-28,POWERGRID,True
2015-02-28,PRESTIGE,True
2015-02-28,PTC,True
2015-02-28,RAMCOCEM,True
2015-02-28,RAYMOND,True
2015-02-28,RCOM,True
2015-02-28,RECLTD,True
2015-02-28,RELCAPITAL,True
2015-02-28,RELIANCE,True
2015-02-28,REPCOHOME,True
2015-02-28,RPOWER,True
2015-02-28,SAIL,True
2015-02-28,SBIN,True
2015-02-28,SHREECEM,True
2015-02-28,SIEMENS,True
2015-02-28,SOBHA,True
2015-02-28,SOUTHBANK,True
2015-02-28,STAR,True
2015-02-28,SUNPHARMA,True
2015-02-28,SUNTV,True
2015-02-28,SUZLON,True
2015-02-28,SYNDIBANK,True
2015-02-28,TATACHEM,True
2015-02-28,TATACOMM,True
2015-02-28,TCS,True
2015-02-28,TECHM,True
2015-02-28,THERMAX,True
2015-02-28,TITAN,True
2015-02-28,TORNTPHARM,True
2015-02-28,TORNTPOWER,True
2015-02-28,TV18BRDCST,True
2015-02-28,TVSMOTOR,True
2015-02-28,UBL,True
2015-02-28,UCOBANK,True
2015-02-28,ULTRACEMCO,True
2015-02-28,UNIONBANK,True
2015-02-28,UNITECH,True
2015-02-28,UPL,True
2015-02-28,VAKRANGEE,True
2015-02-28,VOLTAS,True
2015-02-28,WABAG,True
2015-02-28,WIPRO,True
2015-02-28,WOCKPHARMA,True
2015-02-28,YESBANK,True
2015-02-28,ZEEL,True
2015-03-31,ABB,True
2015-03-31,ABIRLANUVO,True
2015-03-31,AIAENG,True
2015-03-31,ALBK,True
2015-03-31,AMBUJACEM,True
2015-03-31,AMTEKAUTO,True
2015-03-31,APOLLOHOSP,True
2015-03-31,APOLLOTYRE,True
2015-03-31,ASIANPAINT,True
2015-03-31,AUROPHARMA,True
2015-03-31,AXISBANK,True
2015-03-31,BAJAJ-AUTO,True
2015-03-31,BAJAJFINSV,True
2015-03-31,BAJFINANCE,True
2015-03-31,BANKBARODA,True
2015-03-31,BANKINDIA,True
2015-03-31,BATAINDIA,True
2015-03-31,BEL,True
2015-03-31,BERGEPAINT,True
2015-03-31,BHARATFORG,True
2015-03-31,BHEL,True
2015-03-31,BIOCON,True
2015-03-31,BOSCHLTD,True
2015-03-31,BPCL,True
2015-03-31,CANBK,True
2015-03-31,CARERATING,True
2015-03-31,CASTROLIND,True
2015-03-31,CESC,True
2015-03-31,CIPLA,True
2015-03-31,COALINDIA,True
2015-03-31,COLPAL,True
2015-03-31,CONCOR,True
2015-03-31,CRISIL,True
2015-03-31,CUMMINSIND,True
2015-03-31,DABUR,True
2015-03-31,DCBBANK,True
2015-03-31,DELTACORP,True
2015-03-31,DIVISLAB,True
2015-03-31,DLF,True
2015-03-31,DRREDDY,True
2015-03-31,EDELWEISS,True
