Ticker,Quarter_End,Promoter_Group,Dominant_Promoter_Entity,Dominant_Promoter_Shares
360ONE,2019-09-18,Independent,Nirmal Bhanwarlal Jain,6628856.0
360ONE,2019-09-30,Independent,Nirmal Bhanwarlal Jain,6628856.0
360ONE,2019-12-31,Independent,Nirmal Bhanwarlal Jain,6628856.0
360ONE,2020-03-31,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2020-09-30,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2020-12-31,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2021-03-31,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2021-06-30,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2021-09-30,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2021-12-31,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2022-03-31,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2022-06-30,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2022-09-30,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2022-12-31,Independent,Nirmal Bhanwarlal Jain,6228856.0
360ONE,2023-03-03,Independent,Nirmal Bhanwarlal Jain,24915424.0
360ONE,2023-03-31,Independent,Nirmal Bhanwarlal Jain,24915424.0
360ONE,2023-06-30,Independent,Nirmal Bhanwarlal Jain,24915424.0
360ONE,2023-09-30,Independent,Nirmal Bhanwarlal Jain,24915424.0
360ONE,2023-12-31,Independent,Nirmal Bhanwarlal Jain,19915424.0
360ONE,2024-03-31,Independent,Nirmal Bhanwarlal Jain,19915424.0
360ONE,2024-06-30,Independent,Nirmal Bhanwarlal Jain,17915424.0
360ONE,2024-09-30,Independent,Nirmal Bhanwarlal Jain,17915424.0
360ONE,2024-10-29,Independent,Nirmal Bhanwarlal Jain,17915424.0
360ONE,2024-12-31,Independent,Nirmal Bhanwarlal Jain,17915424.0
360ONE,2025-03-31,Independent,Nirmal Bhanwarlal Jain,16415424.0
360ONE,2025-05-27,Independent,Yatin Shah,13425960.0
360ONE,2025-06-30,Independent,Yatin Shah,10742104.0
360ONE,2025-09-30,Independent,Yatin Shah,10742104.0
360ONE,2025-12-31,Independent,Yatin Shah,10699820.0
AARTIIND,2014-03-31,Independent,,0.0
