Ticker,Sector_Coarse,Sector_Fine
360ONE,Financial Services,Asset Management
AARTIIND,CHEMICALS,Specialty Chemicals
ABB,INDUSTRIAL MANUFACTURING,Specialty Industrial Machinery
ABBOTINDIA,PHARMA,Drug Manufacturers - Specialty & Generic
ABCAPITAL,FINANCIAL SERVICES,Financial Conglomerates
ABFRL,CONSUMER SERVICES,Apparel Manufacturing
ABIRLANUVO,DIVERSIFIED,
ACC,CEMENT & CEMENT PRODUCTS,Building Materials
ADANIENT,METALS,Thermal Coal
ADANIGAS,OIL & GAS,
ADANIGREEN,POWER,Utilities - Renewable
ADANIPORTS,SERVICES,Marine Shipping
ADANIPOWER,POWER,Utilities - Independent Power Producers
ADANITRANS,POWER,
AIAENG,INDUSTRIAL MANUFACTURING,Specialty Industrial Machinery
AJANTPHARM,PHARMA,Drug Manufacturers - Specialty & Generic
ALBK,FINANCIAL SERVICES,
ALKEM,PHARMA,Drug Manufacturers - Specialty & Generic
ALSTOMT&D,ELECTRICAL EQUIPMENT,
AMARAJABAT,AUTOMOBILE,
AMBUJACEM,CEMENT & CEMENT PRODUCTS,Building Materials
AMTEKAUTO,AUTO ANCILLARIES,
ANDHRABANK,BANKS,
APLAPOLLO,Capital Goods,Steel
APLLTD,PHARMA,Drug Manufacturers - Specialty & Generic
APOLLOHOSP,HEALTHCARE SERVICES,Medical Care Facilities
APOLLOTYRE,AUTOMOBILE,Auto Parts
ARVIND,TEXTILES,Textile Manufacturing
ASHOKLEY,AUTOMOBILE,Farm & Heavy Construction Machinery
ASIANPAINT,CONSUMER GOODS,Specialty Chemicals
ASTRAL,INDUSTRIAL MANUFACTURING,Building Products & Equipment
ATGL,OIL & GAS,Utilities - Regulated Gas
AUBANK,FINANCIAL SERVICES,Banks - Regional
AUROPHARMA,PHARMA,Drug Manufacturers - Specialty & Generic
AVANTIFEED,CONSUMER GOODS,Packaged Foods
AWL,Consumer Defensive,Packaged Foods
AXISBANK,FINANCIAL SERVICES,Banks - Regional
BAJAJ-AUTO,AUTOMOBILE,Auto Manufacturers
BAJAJFINSV,FINANCIAL SERVICES,Financial Conglomerates
BAJAJHFL,Financial Services,Mortgage Finance
BAJAJHLDNG,FINANCIAL SERVICES,Asset Management
BAJFINANCE,FINANCIAL SERVICES,Credit Services
BALKRISIND,AUTOMOBILE,Auto Parts
BANDHANBNK,FINANCIAL SERVICES,Banks - Regional
BANKBARODA,FINANCIAL SERVICES,Banks - Regional
BANKINDIA,FINANCIAL SERVICES,Banks - Regional
BATAINDIA,CONSUMER GOODS,Footwear & Accessories
BBTC,CONSUMER GOODS,Packaged Foods
BDL,Capital Goods,Aerospace & Defense
BEL,INDUSTRIAL MANUFACTURING,Aerospace & Defense
BEML,ENGINEERING,Conglomerates
BERGEPAINT,CONSUMER GOODS,Specialty Chemicals
BHARATFIN,FINANCIAL SERVICES,
BHARATFORG,INDUSTRIAL MANUFACTURING,Auto Parts
BHARTIARTL,TELECOM,Telecom Services
BHARTIHEXA,Communication Services,Telecom Services
BHEL,INDUSTRIAL MANUFACTURING,Specialty Industrial Machinery
BIOCON,PHARMA,Biotechnology
BLUESTARCO,Consumer Durables,Building Products & Equipment
BOSCHLTD,AUTOMOBILE,Auto Parts
BPCL,OIL & GAS,Oil & Gas Refining & Marketing
BRITANNIA,CONSUMER GOODS,Packaged Foods
CADILAHC,PHARMA,
CAIRN,OIL EXPLORATION/PRODUCTION,
CANBK,FINANCIAL SERVICES,Banks - Regional
CARERATING,FINANCE,Financial Data & Stock Exchanges
CASTROLIND,OIL & GAS,Oil & Gas Refining & Marketing
CENTRALBK,FINANCIAL SERVICES,Banks - Regional
CENTURYTEX,CEMENT & CEMENT PRODUCTS,
CESC,POWER,Utilities - Regulated Electric
CGPOWER,Capital Goods,Electrical Equipment & Parts
CHOLAFIN,FINANCIAL SERVICES,Credit Services
CIPLA,PHARMA,Drug Manufacturers - Specialty & Generic
CMC,COMPUTERS - SOFTWARE,
COALINDIA,METALS,Thermal Coal
COCHINSHIP,Capital Goods,Aerospace & Defense
COFORGE,IT,Information Technology Services
COLPAL,CONSUMER GOODS,Household & Personal Products
CONCOR,SERVICES,Railroads
COROMANDEL,FERTILISERS & PESTICIDES,Agricultural Inputs
COX&KINGS,TRAVEL AND TRANSPORT,
CRISIL,FINANCIAL SERVICES,Financial Data & Stock Exchanges
CROMPGREAV,ELECTRICAL EQUIPMENT,
CROMPTON,CONSUMER GOODS,"Furnishings, Fixtures & Appliances"
CUB,FINANCIAL SERVICES,Banks - Regional
CUMMINSIND,INDUSTRIAL MANUFACTURING,Specialty Industrial Machinery
DABUR,CONSUMER GOODS,Household & Personal Products
DALBHARAT,CEMENT & CEMENT PRODUCTS,Building Materials
DALMIABHA,CEMENT & CEMENT PRODUCTS,
DBL,CONSTRUCTION,Engineering & Construction
DCBBANK,BANKS,Banks - Regional
DEEPAKNTR,CHEMICALS,Chemicals
DELHIVERY,Industrials,Integrated Freight & Logistics
DELTACORP,CONSTRUCTION,Resorts & Casinos
DEVYANI,Consumer Cyclical,Restaurants
DHANI,FINANCIAL SERVICES,
DHFL,FINANCIAL SERVICES,
DISHTV,MEDIA & ENTERTAINMENT,Entertainment
DIVISLAB,PHARMA,Drug Manufacturers - Specialty & Generic
DIXON,CONSUMER GOODS,Consumer Electronics
DLF,CONSTRUCTION,Real Estate - Development
DMART,CONSUMER SERVICES,Discount Stores
DRREDDY,PHARMA,Drug Manufacturers - Specialty & Generic
EDELWEISS,FINANCIAL SERVICES,Financial Conglomerates
EICHERMOT,AUTOMOBILE,Auto Manufacturers
EMAMILTD,CONSUMER GOODS,Household & Personal Products
ENDURANCE,AUTOMOBILE,Auto Parts
ENGINERSIN,CONSTRUCTION,Engineering & Construction
ENRIN,Capital Goods,Utilities - Renewable
ESCORTS,AUTOMOBILE,Farm & Heavy Construction Machinery
EXIDEIND,AUTOMOBILE,Auto Parts
FACT,Basic Materials,Agricultural Inputs
FCONSUMER,CONSUMER GOODS,Packaged Foods
FEDERALBNK,FINANCIAL SERVICES,Banks - Regional
FLUOROCHEM,Basic Materials,Specialty Chemicals
FORTIS,HEALTHCARE SERVICES,Medical Care Facilities
FRETAIL,CONSUMER GOODS,Department Stores
GAIL,OIL & GAS,Utilities - Regulated Gas
GDL,TRAVEL AND TRANSPORT,
GESHIP,SHIPPING,Marine Shipping
GICRE,FINANCIAL SERVICES,Insurance - Reinsurance
GLAND,PHARMA,Drug Manufacturers - Specialty & Generic
GLAXO,PHARMA,Drug Manufacturers - General
GLENMARK,PHARMA,Drug Manufacturers - Specialty & Generic
GMRINFRA,CONSTRUCTION,
GODFRYPHLP,Fast Moving Consumer Goods,Tobacco
GODREJAGRO,CONSUMER GOODS,Packaged Foods
GODREJCP,CONSUMER GOODS,Household & Personal Products
GODREJIND,CONSUMER GOODS,Conglomerates
GODREJPROP,CONSTRUCTION,Real Estate - Development
GPPL,SERVICES,Marine Shipping
GRAPHITE,INDUSTRIAL MANUFACTURING,Electrical Equipment & Parts
GRASIM,CEMENT & CEMENT PRODUCTS,Building Materials
GRUH,FINANCIAL SERVICES,
GSKCONS,CONSUMER GOODS,
GSPL,OIL & GAS,Utilities - Regulated Gas
GUJFLUORO,CHEMICALS - ORGANIC,
GUJGASLTD,OIL & GAS,Utilities - Regulated Gas
HAL,INDUSTRIAL MANUFACTURING,Aerospace & Defense
HAVELLS,CONSUMER GOODS,Electrical Equipment & Parts
HCLTECH,IT,Information Technology Services
HDFC,FINANCIAL SERVICES,
HDFCAMC,FINANCIAL SERVICES,Asset Management
HDFCBANK,FINANCIAL SERVICES,Banks - Regional
HDFCLIFE,FINANCIAL SERVICES,Insurance - Life
HDIL,CONSTRUCTION,Real Estate - Diversified
HEG,INDUSTRIAL MANUFACTURING,Electrical Equipment & Parts
HEROMOTOCO,AUTOMOBILE,Auto Manufacturers
HEXAWARE,IT,
HINDALCO,METALS,Aluminum
HINDCOPPER,METALS,Copper
HINDPETRO,OIL & GAS,Oil & Gas Refining & Marketing
HINDUNILVR,CONSUMER GOODS,Household & Personal Products
HINDZINC,METALS,Other Industrial Metals & Mining
HUDCO,FINANCIAL SERVICES,Credit Services
HYUNDAI,Automobile and Auto Components,Auto Manufacturers
IBREALEST,CONSTRUCTION,
IBULHSGFIN,FINANCIAL SERVICES,
IBVENTURES,FINANCIAL SERVICES,
ICICIBANK,FINANCIAL SERVICES,Banks - Regional
ICICIGI,FINANCIAL SERVICES,Insurance - Diversified
ICICIPRULI,FINANCIAL SERVICES,Insurance - Life
IDBI,BANKS,Banks - Regional
IDEA,TELECOM,Telecom Services
IDFC,FINANCIAL SERVICES,
IDFCBANK,FINANCIAL SERVICES,
IDFCFIRSTB,FINANCIAL SERVICES,Banks - Regional
IFCI,FINANCIAL INSTITUTION,Credit Services
IGL,OIL & GAS,Utilities - Regulated Gas
INDHOTEL,CONSUMER SERVICES,Lodging
INDIACEM,CEMENT AND CEMENT PRODUCTS,Building Materials
INDIAMART,CONSUMER SERVICES,Internet Content & Information
INDIANB,FINANCIAL SERVICES,Banks - Regional
INDIGO,SERVICES,Airlines
INDUSINDBK,FINANCIAL SERVICES,Banks - Regional
INDUSTOWER,TELECOM,Telecom Services
INFRATEL,TELECOM,
INFY,IT,Information Technology Services
INGVYSYABK,BANKS,
INOXWIND,ELECTRICAL EQUIPMENT,Specialty Industrial Machinery
IOB,BANKS,Banks - Regional
IOC,OIL & GAS,Oil & Gas Refining & Marketing
IPCALAB,PHARMA,Drug Manufacturers - Specialty & Generic
IRB,CONSTRUCTION,Infrastructure Operations
IRCTC,SERVICES,Travel Services
IREDA,Financial Services,Credit Services
IRFC,FINANCIAL SERVICES,Credit Services
ISEC,FINANCE,
ITC,CONSUMER GOODS,Tobacco
ITCHOTELS,Consumer Cyclical,Resorts & Casinos
J&KBANK,BANKS,Banks - Regional
JETAIRWAYS,TRAVEL AND TRANSPORT,Airlines
JINDALSTEL,METALS,Steel
JIOFIN,Financial Services,Asset Management
JISLJALEQS,PLASTIC AND PLASTIC PRODUCTS,Conglomerates
JKLAKSHMI,CEMENT AND CEMENT PRODUCTS,Building Materials
JPASSOCIAT,CONSTRUCTION,Conglomerates
JPPOWER,POWER,Utilities - Independent Power Producers
JSWENERGY,POWER,Utilities - Independent Power Producers
JSWINFRA,Industrials,Marine Shipping
JSWSTEEL,METALS,Steel
JUBILANT,PHARMA,
JUBLFOOD,CONSUMER SERVICES,Restaurants
JUSTDIAL,COMPUTERS - SOFTWARE,Internet Content & Information
KAJARIACER,CERAMICS AND SANITARYWARE,Building Products & Equipment
KALYANKJIL,Consumer Durables,Luxury Goods
KARURVYSYA,FINANCIAL SERVICES,Banks - Regional
KEI,Capital Goods,Electrical Equipment & Parts
KOTAKBANK,FINANCIAL SERVICES,Banks - Regional
KPIT,COMPUTERS - SOFTWARE,
KPITTECH,Information Technology,Software - Infrastructure
KSCL,FOOD AND FOOD PROCESSING,Agricultural Inputs
KTKBANK,BANKS,Banks - Regional
L&TFH,FINANCIAL SERVICES,
LALPATHLAB,HEALTHCARE SERVICES,Diagnostics & Research
LAURUSLABS,PHARMA,Drug Manufacturers - Specialty & Generic
LICHSGFIN,FINANCIAL SERVICES,Mortgage Finance
LICI,Financial Services,Insurance - Life
LINDEINDIA,Basic Materials,Specialty Chemicals
LODHA,Realty,Real Estate - Development
LT,CONSTRUCTION,Engineering & Construction
LTI,IT,
LTTS,IT,Information Technology Services
LUPIN,PHARMA,Drug Manufacturers - Specialty & Generic
M&M,AUTOMOBILE,Auto Manufacturers
M&MFIN,FINANCIAL SERVICES,Credit Services
MAHABANK,Financial Services,Banks - Regional
MANAPPURAM,FINANCIAL SERVICES,Credit Services
MARICO,CONSUMER GOODS,Household & Personal Products
MARUTI,AUTOMOBILE,Auto Manufacturers
MAX,FINANCE,
MAZDOCK,Capital Goods,Aerospace & Defense
MCDOWELL-N,CONSUMER GOODS,
