Ticker,Reason
ABBOTINDIA,could not classify promoter rows for 107144
ACC,could not classify promoter rows for 104287
ADANIENT,could not classify promoter rows for 146237
ADANIENT,could not classify promoter rows for 144916
ADANIPORTS,could not classify promoter rows for 106010
AJANTPHARM,could not classify promoter rows for 105740
ALKEM,could not classify promoter rows for 105421
ANDHRABANK,could not classify promoter rows for 105535
APLLTD,could not classify promoter rows for 104381
ARVIND,could not classify promoter rows for 106080
ASHOKLEY,could not classify promoter rows for 105029
BHARTIARTL,could not classify promoter rows for 105749
BRITANNIA,could not classify promoter rows for 106118
CAIRN,could not classify promoter rows for 105117
DHFL,could not classify promoter rows for 104901
GAIL,could not classify promoter rows for 105248
HINDUNILVR,could not classify promoter rows for 105764
IFCI,could not classify promoter rows for 106675
INDHOTEL,could not classify promoter rows for 107180
INDHOTEL,could not classify promoter rows for 105458
MAHABANK,could not classify promoter rows for 106074
MANAPPURAM,could not classify promoter rows for 105561
MMTC,could not classify promoter rows for 105254
MOTILALOFS,could not classify promoter rows for 105587
MUTHOOTFIN,could not classify promoter rows for 104278
NESTLEIND,could not classify promoter rows for 107093
OFSS,could not classify promoter rows for 105159
ORIENTBANK,could not classify promoter rows for 105559
PAGEIND,could not classify promoter rows for 105916
PHOENIXLTD,could not classify promoter rows for 106930
RALLIS,could not classify promoter rows for 104810
RELINFRA,could not classify promoter rows for 195236
TATAMTRDVR,could not classify promoter rows for 106451
TATAPOWER,promoter payload invalid for 124793
TATASTEEL,promoter payload invalid for 201299
TATASTEEL,promoter payload invalid for 195719
TATASTEEL,promoter payload invalid for 185136
TATASTEEL,promoter payload invalid for 174842
TATASTEEL,promoter payload invalid for 159625
TATASTEEL,promoter payload invalid for 152604
TATASTEEL,promoter payload invalid for 156442
TTML,could not classify promoter rows for 105273
