Date,spec,label,n_active_stocks,n_active_entities,effective_entity_bets
2016-01-01,coarse_all,Coarse | With PSU,162,117,9.87201599410569
2016-01-08,coarse_all,Coarse | With PSU,162,117,9.374570078380762
2016-01-15,coarse_all,Coarse | With PSU,162,117,8.579218903188556
2016-01-22,coarse_all,Coarse | With PSU,162,117,8.65059041481594
2016-01-29,coarse_all,Coarse | With PSU,162,117,8.485059876821168
2016-02-05,coarse_all,Coarse | With PSU,162,117,8.723573916633072
2016-02-12,coarse_all,Coarse | With PSU,162,117,7.712231361644543
2016-02-19,coarse_all,Coarse | With PSU,162,117,7.523215857061798
2016-02-26,coarse_all,Coarse | With PSU,162,117,7.378657775424801
2016-03-04,coarse_all,Coarse | With PSU,162,117,6.594677467882857
2016-03-11,coarse_all,Coarse | With PSU,162,117,6.6033757823790715
2016-03-18,coarse_all,Coarse | With PSU,162,117,6.6568132732142065
2016-03-25,coarse_all,Coarse | With PSU,162,117,6.642541328223342
2016-04-01,coarse_all,Coarse | With PSU,162,117,6.784680103065044
2016-04-08,coarse_all,Coarse | With PSU,162,117,6.97538092680072
2016-04-15,coarse_all,Coarse | With PSU,162,117,6.859042047776129
2016-04-22,coarse_all,Coarse | With PSU,162,117,7.162907061157106
2016-04-29,coarse_all,Coarse | With PSU,155,106,7.2635070811024605
2016-05-06,coarse_all,Coarse | With PSU,155,106,7.239228578841525
2016-05-13,coarse_all,Coarse | With PSU,155,106,7.3213601974147435
2016-05-20,coarse_all,Coarse | With PSU,155,106,7.292878941673185
2016-05-27,coarse_all,Coarse | With PSU,155,106,7.1777992480956
2016-06-03,coarse_all,Coarse | With PSU,155,106,7.5354496458068265
2016-06-10,coarse_all,Coarse | With PSU,155,106,7.683351199312566
2016-06-17,coarse_all,Coarse | With PSU,155,106,7.9391545382879825
2016-06-24,coarse_all,Coarse | With PSU,155,106,8.006654927786439
2016-07-01,coarse_all,Coarse | With PSU,155,106,7.582002583800598
2016-07-08,coarse_all,Coarse | With PSU,155,106,7.562319720282876
2016-07-15,coarse_all,Coarse | With PSU,155,106,7.8342015245581385
2016-07-22,coarse_all,Coarse | With PSU,155,106,7.83007075213379
2016-07-29,coarse_all,Coarse | With PSU,155,106,7.814569247492225
2016-08-05,coarse_all,Coarse | With PSU,155,106,7.901020165351864
2016-08-12,coarse_all,Coarse | With PSU,155,106,7.922981459627096
2016-08-19,coarse_all,Coarse | With PSU,155,106,7.876943600722185
2016-08-26,coarse_all,Coarse | With PSU,155,106,8.299936263497896
2016-09-02,coarse_all,Coarse | With PSU,155,106,8.662723135825185
2016-09-09,coarse_all,Coarse | With PSU,155,106,8.568180373605214
2016-09-16,coarse_all,Coarse | With PSU,155,106,8.509890871197312
2016-09-23,coarse_all,Coarse | With PSU,155,106,8.502434197779008
2016-09-30,coarse_all,Coarse | With PSU,154,106,8.3208474428976
2016-10-07,coarse_all,Coarse | With PSU,154,106,8.138076693011236
2016-10-14,coarse_all,Coarse | With PSU,154,106,8.049903185578685
2016-10-21,coarse_all,Coarse | With PSU,161,111,8.489051639025341
2016-10-28,coarse_all,Coarse | With PSU,175,121,9.188248710451234
2016-11-04,coarse_all,Coarse | With PSU,175,121,8.923645359528885
2016-11-11,coarse_all,Coarse | With PSU,175,121,8.94016174927023
2016-11-18,coarse_all,Coarse | With PSU,175,121,8.678033118867681
2016-11-25,coarse_all,Coarse | With PSU,175,121,8.808782456550725
2016-12-02,coarse_all,Coarse | With PSU,175,121,8.877066205922581
2016-12-09,coarse_all,Coarse | With PSU,175,121,9.024647567089952
2016-12-16,coarse_all,Coarse | With PSU,175,121,9.190480018759507
2016-12-23,coarse_all,Coarse | With PSU,175,121,9.089234904426332
2016-12-30,coarse_all,Coarse | With PSU,174,120,9.135394083758273
2017-01-06,coarse_all,Coarse | With PSU,174,120,9.342684557239592
2017-01-13,coarse_all,Coarse | With PSU,174,120,10.10805914493959
2017-01-20,coarse_all,Coarse | With PSU,174,120,10.070351026023857
2017-01-27,coarse_all,Coarse | With PSU,174,120,9.958039405471418
2017-02-03,coarse_all,Coarse | With PSU,174,120,9.914651166412671
2017-02-10,coarse_all,Coarse | With PSU,174,120,11.78742456991034
2017-02-17,coarse_all,Coarse | With PSU,174,120,12.043802770535876
2017-02-24,coarse_all,Coarse | With PSU,174,120,12.638977270267516
