spec,label,Promoter_Group,group_display,avg_contribution,avg_share_of_group_r2,avg_group_size
coarse_all,Coarse | With PSU,Adani,Adani,0.019660475105500785,0.22669562881039795,4.350785340314136
coarse_all,Coarse | With PSU,GOI_PSU,PSU,0.011587797345901605,0.17897084227597343,32.50785340314136
coarse_all,Coarse | With PSU,Reliance_ADAG,Reliance (ADAG),0.008634958359209173,0.12943395449560804,3.018575851393189
coarse_all,Coarse | With PSU,Bajaj,Bajaj,0.00778084061649113,0.13193977884844751,3.675392670157068
coarse_all,Coarse | With PSU,Birla,Birla,0.005578209188545029,0.09506329207562549,5.287958115183246
coarse_all,Coarse | With PSU,Tata,Tata,0.005444636651077879,0.09981001172451134,10.890052356020943
coarse_all,Coarse | With PSU,Mahindra,Mahindra,0.00527843454097828,0.09972484984595631,4.43280977312391
coarse_all,Coarse | With PSU,Reliance_RIL,Reliance (RIL),0.00504137074911603,0.09483369885873648,1.361256544502618
coarse_ex_psu,Coarse | Ex PSU,Adani,Adani,0.01941986861049562,0.2452699487334754,4.350785340314136
coarse_ex_psu,Coarse | Ex PSU,Reliance_ADAG,Reliance (ADAG),0.010392885840974643,0.16413295045453735,3.018575851393189
coarse_ex_psu,Coarse | Ex PSU,Bajaj,Bajaj,0.008276534424260011,0.15601385608487905,3.675392670157068
coarse_ex_psu,Coarse | Ex PSU,Birla,Birla,0.007025624101135079,0.12636511150695454,5.287958115183246
coarse_ex_psu,Coarse | Ex PSU,Tata,Tata,0.00666652829555518,0.132318218354622,10.890052356020943
coarse_ex_psu,Coarse | Ex PSU,Mahindra,Mahindra,0.006354338745178265,0.13107899102823842,4.43280977312391
coarse_ex_psu,Coarse | Ex PSU,Reliance_RIL,Reliance (RIL),0.006204776967067146,0.11643215876510182,1.361256544502618
fine_all,Fine | With PSU,Reliance_ADAG,Reliance (ADAG),0.0211807278218226,0.19683672573629316,3.018575851393189
fine_all,Fine | With PSU,Adani,Adani,0.012758278374569257,0.1726340898714435,4.350785340314136
fine_all,Fine | With PSU,GOI_PSU,PSU,0.010112144877619437,0.17874072149683984,32.50785340314136
fine_all,Fine | With PSU,Bajaj,Bajaj,0.007198984375707111,0.12330886032627351,3.675392670157068
fine_all,Fine | With PSU,Reliance_RIL,Reliance (RIL),0.006599169055477715,0.12203713929777295,1.361256544502618
fine_all,Fine | With PSU,Birla,Birla,0.005964889717501432,0.10850928435999956,5.287958115183246
fine_all,Fine | With PSU,Mahindra,Mahindra,0.005631675442997428,0.10545457505872756,4.43280977312391
fine_all,Fine | With PSU,Tata,Tata,0.0038660638558173227,0.07835850164335377,10.890052356020943
fine_ex_psu,Fine | Ex PSU,Reliance_ADAG,Reliance (ADAG),0.025087208537938593,0.2464905785360487,3.018575851393189
fine_ex_psu,Fine | Ex PSU,Adani,Adani,0.010490449071112698,0.17183202583624582,4.350785340314136
fine_ex_psu,Fine | Ex PSU,Bajaj,Bajaj,0.00814039246964737,0.1622938162101331,3.675392670157068
fine_ex_psu,Fine | Ex PSU,Birla,Birla,0.006911955976966777,0.14686989078507123,5.287958115183246
fine_ex_psu,Fine | Ex PSU,Mahindra,Mahindra,0.006894614114760292,0.14549789843354266,4.43280977312391
fine_ex_psu,Fine | Ex PSU,Reliance_RIL,Reliance (RIL),0.006223735848463323,0.12221521310384491,1.361256544502618
fine_ex_psu,Fine | Ex PSU,Tata,Tata,0.004901774236506912,0.11234445952794457,10.890052356020943
