ticker,promoter_group,nse_sector,gics_sub_industry
ACC,Adani,Cement,Cement
AMBUJACEM,Adani,Cement,Cement
ADANIENT,Adani,Construction,Industrial Conglomerates
ADANIPORTS,Adani,Construction,Marine Ports & Services
ATGL,Adani,Energy,Gas Utilities
ADANIGREEN,Adani,Power,Renewable Electricity
ADANIPOWER,Adani,Power,Electric Utilities
BAJAJ-AUTO,Bajaj,Automobile,Motorcycle Manufacturers
BAJAJFINSV,Bajaj,Financial Services,Multi-Sector Holdings
BAJFINANCE,Bajaj,Financial Services,Consumer Finance
GRASIM,Birla,Cement,Cement
ULTRACEMCO,Birla,Cement,Cement
ABFRL,Birla,Consumer Durables,Apparel Retail
ABCAPITAL,Birla,Financial Services,Diversified Capital Markets
HINDALCO,Birla,Metals & Mining,Aluminum
IDEA,Birla,Telecom,Wireless Telecommunication Services
BALKRISIND,Independent,Automobile,Auto Parts & Equipment
BHARATFORG,Independent,Automobile,Auto Parts & Equipment
EICHERMOT,Independent,Automobile,Motorcycle Manufacturers
ENDURANCE,Independent,Automobile,Auto Parts & Equipment
EXIDEIND,Independent,Automobile,Auto Parts & Equipment
HEROMOTOCO,Independent,Automobile,Motorcycle Manufacturers
MARUTI,Independent,Automobile,Automobile Manufacturers
MOTHERSON,Independent,Automobile,Auto Parts & Equipment
SONACOMS,Independent,Automobile,Auto Parts & Equipment
TVSMOTOR,Independent,Automobile,Motorcycle Manufacturers
UNOMINDA,Independent,Automobile,Auto Parts & Equipment
ASTRAL,Independent,Capital Goods,Building Products
BOSCHLTD,Independent,Capital Goods,Auto Parts & Equipment
CUMMINSIND,Independent,Capital Goods,Industrial Machinery
HONAUT,Independent,Capital Goods,Industrial Machinery
KEI,Independent,Capital Goods,Electrical Components & Equipment
MRF,Independent,Capital Goods,Tires & Rubber
POLYCAB,Independent,Capital Goods,Electrical Components & Equipment
SCHAEFFLER,Independent,Capital Goods,Industrial Machinery
SIEMENS,Independent,Capital Goods,Heavy Electrical Equipment
SUNDRMFAST,Independent,Capital Goods,Industrial Machinery
SUPREMEIND,Independent,Capital Goods,Building Products
